Fecha,Longitud,Latitud,Temperatura,Humedad,eCo2,Aforo,Redes,Señal Detectada
2026-03-25 15:27:22,40.423592,-3.675763,23.42,33.52,400,AFORO BAJO,4,-43
2026-03-25 15:27:30,40.423592,-3.675763,23.43,33.1,400,AFORO BAJO,4,-42
2026-03-25 15:27:38,40.423592,-3.675763,23.43,32.67,400,AFORO BAJO,4,-40
2026-03-25 15:27:46,40.423592,-3.675763,23.43,32.52,420,AFORO BAJO,3,-53
2026-03-25 15:27:55,40.423592,-3.675763,23.44,32.49,425,AFORO BAJO,3,-28
2026-03-25 15:28:02,40.423592,-3.675763,23.42,32.38,430,AFORO BAJO,4,-34
2026-03-25 15:28:11,40.423592,-3.675763,23.53,32.26,435,AFORO BAJO,4,-36
2026-03-25 15:28:19,40.423592,-3.675763,23.57,31.98,430,AFORO BAJO,3,-35
2026-03-25 15:28:26,40.423592,-3.675763,23.52,31.62,570,AFORO BAJO,3,-21
2026-03-25 15:28:34,40.423592,-3.675763,23.46,31.27,510,AFORO BAJO,2,-24
2026-03-25 15:28:42,40.423592,-3.675763,23.41,31.07,480,AFORO BAJO,6,-16
2026-03-25 15:28:50,40.423592,-3.675763,23.38,30.85,470,AFORO BAJO,10,-15
2026-03-25 15:28:58,40.423592,-3.675763,23.52,31.28,565,AFORO BAJO,5,-37
2026-03-25 15:29:06,40.423592,-3.675763,23.88,33.21,820,AFORO MEDIO,3,-32
2026-03-25 15:29:14,40.423592,-3.675763,24.1,34.3,900,AFORO MEDIO,3,-41
2026-03-25 15:29:22,40.423592,-3.675763,24.2,34.21,880,AFORO MEDIO,2,-29
2026-03-25 15:29:30,40.423592,-3.675763,24.31,34.16,890,AFORO MEDIO,4,-26
2026-03-25 15:29:38,40.423592,-3.675763,24.39,34.14,950,AFORO MEDIO,4,-33
2026-03-25 15:29:46,40.423592,-3.675763,24.56,36.34,980,AFORO MEDIO,3,-25
2026-03-25 15:30:18,40.423592,-3.675763,25.2,36.35,900,AFORO MEDIO,3,-23
2026-03-25 15:30:26,40.423592,-3.675763,25.65,35.82,950,AFORO MEDIO,7,-23
2026-03-25 15:30:34,40.423592,-3.675763,26.03,35.23,880,AFORO MEDIO,3,-22
2026-03-25 15:30:42,40.423592,-3.675763,26.38,35.23,920,AFORO MEDIO,2,-29
2026-03-25 15:30:50,40.423592,-3.675763,26.66,34.59,970,AFORO MEDIO,2,-21
2026-03-25 15:30:58,40.423592,-3.675763,26.75,33.29,890,AFORO MEDIO,3,-21
2026-03-25 15:31:07,40.423592,-3.675763,26.53,31.96,910,AFORO MEDIO,3,-40
2026-03-25 15:31:14,40.423592,-3.675763,26.34,30.88,880,AFORO MEDIO,3,-34
2026-03-25 15:31:22,40.423592,-3.675763,26.16,30.08,860,AFORO MEDIO,2,-34
2026-03-25 15:31:30,40.423592,-3.675763,26.02,29.58,990,AFORO MEDIO,3,-30
2026-03-25 15:31:38,40.423592,-3.675763,25.95,29.23,870,AFORO MEDIO,2,-35
2026-03-25 15:31:46,40.423592,-3.675763,25.88,29.04,930,AFORO MEDIO,2,-29
2026-03-25 15:31:55,40.423592,-3.675763,25.88,29.34,1514,AFORO ALTO,3,-40
2026-03-25 15:32:02,40.423592,-3.675763,25.93,30.13,2447,AFORO ALTO,7,-48
2026-03-25 15:32:10,40.423592,-3.675763,26.12,31.56,1329,AFORO ALTO,6,-46
2026-03-25 15:32:18,40.423592,-3.675763,26.17,32.51,1077,AFORO ALTO,4,-34
2026-03-25 15:32:26,40.423592,-3.675763,26.2,32.48,1117,AFORO ALTO,3,-25
2026-03-25 15:32:36,40.423592,-3.675763,26.22,32.3,1700,AFORO ALTO,4,-33
2026-03-25 15:32:44,40.416862,-3.678279,26.26,32.49,1787,AFORO ALTO,5,-23
2026-03-25 15:32:50,40.416862,-3.678279,26.41,33.36,1067,AFORO ALTO,4,-24
2026-03-25 15:32:44,40.416862,-3.678279,26.26,32.49,1787,AFORO ALTO,5,-23
